
1,Documento de Identificación Oficial Credencial para votar del INE  () Pasaporte vigente ()  Cédula Profesional ()
2,Acta de Nacimiento
3,Registro Federal de Contribuyentes (R.F.C.) 
4,Clave Única de Registro de Población (CURP)
5,Comprobante de Domicilio  Agua () Luz () Teléfono Fijo ()       
6,Copia de Constancia Máxima de Estudios
7,Comprobante de Cursos de capacitación; en su caso.
8,Original de Currículum Vitae; firmado por el interesado (En el reverso del CV; deberá asentarse la leyenda que haga constar la verificación realizada sobre las referencias laborales; realizadas por el área contratante).
9,Copia del Certificado o Cédula Profesional; en su caso. (Cuando se Presente Cédula Profesional; deberá agregarse la consulta realizada a través de internet en la página del registro Nacional de Profesionistas de la SEP).
10,Original del Dictamen de Evaluación Rama Médica; Paramédica y Afín  ()
11,Nombramiento por Art. 34  ()  Acta de Ganador de Concurso ()
12,Manifiesto por escrito de la Inexistencia de Situación o Supuesto que pudiera generar Conflicto de Intereses.
13,Manifiesto por escrito que no es parte en algún juicio de cualquier naturaleza en contra de la Secretaría de Salud u otra Institución
14,Manifiesto por escrito que no desempeña otro empleo; cargo o comisión de la Administración Pública Federal y en caso contrario que cuenta con el dictamen de compatibilidad de empleos respectivo
15,Constancia de NO inhabilitación para el desempeño del empleo; cargo o comisión
16,Carta protesta de decir verdad en la que el interesado manifieste que todos los documentos originales y copias son fidedignos
17,Otros: Cuenta Bancaria; Antecedentes de la Plaza; Laudos; Oficios varios; etc.
18,Justificación de la Oficialía Mayor de la SHCP.
19,Resolución del Órgano Colegiado responsable de los procesos de Enseñanza de las especialidades; en el establecimiento o Unidad Médica receptora de Residentes.
20,Escrito de renuncia original
21,Último talón de Pago
22,Copia de oficio de cancelación de pago
23,Acta de Escalafón
24,Carta de  Adscripción y de Aceptación del Residente; emitida por la Unidad Médica Receptora
25,Certificación del pagador habilitado
26,Copia de ficha de depósito con copia de talón de pago (en caso de reintegro)
27,Copia de Licencia Prejubilatoria
28,Escrito de Baja por jubilación del interesado
29,Certificado de defunción original
30,Comunicado dirigido al interesado informando la conclusión del nombramiento con la firma original de recibido del mismo (los efectos de esta baja deberán coincidir con los efectos del movimiento de ingreso).
31,Dictamen del área jurídica o del área competente
32,Resolución emitida por el Tribunal Federal de Conciliación y Arbitraje
33,Original de la resolución emitida por la Unidad de Contraloría Interna o de la autoridad competente.
34,Dictamen del ISSSTE
35,Dictamen de la Secretaría de Hacienda y Crédito Público
36,Original o copia del Dictamen Jurídico
37,Original o copia del Departamento de Enseñanza
38,Renuncia original del trabajador en Formato establecido por la SHCP
39,Documentación que acredite el cambio de partida presupuestal.
40,Oficio del jefe de la plaza informando el tiempo que no se presenta el trabajador.
41,Oficio del jefe de la plaza informando de la pérdida de confianza.
42,Oficio de la Unidad Administrativa debidamente articulado; solicitando la baja.
43,Copia del Auto de Formal Prisión
44,Original o copia del Acta Administrativa
45,Oficio de Autorización de la DGRHO
46,Autorización de la Licencia por el Titular de la Unidad Administrativa.
47,Autorización de la prórroga de la Licencia por el Titular de la Unidad Administrativa.
48,Solicitud original de Licencia del interesado.
49,Copia de renuncia con la firma del trabajador fechada al término de la Licencia.
50,Solicitud del interesado autorizada por el Titular de la Unidad Responsable (en caso de constancia global; los soportes documentales se devuelven a la Unidad Responsable).
51,Original de la Licencia expedida por el ISSSTE (para devolución posterior a la Unidad Responsable).
52,Oficio de notificación de la reincorporación del trabajador a su Unidad y puesto; emitido por el Jefe Inmediato.
53,Soporte de conclusión de la baja temporal en su caso.
54,Oficio de término de la Comisión emitido por la DGRHO.
55,Oficio de interrupción de Licencia en su caso.
56,Original o copia de oficio de autorizacion de Relaciones Laborales con autorizacion de la DGRHO.
57,Autorización de la Unidad (justificación de ampliación de jornada).
58,Autorización de promoción compensada (DIPSP).
59,Copia de notificación de autorización de la DIPSP de la Profesionalización procedente.
60,Escrito de petición del trabajador.
61,Autorización de la Unidad por petición de de reducción de jornada del trabajador.
62,Fomope anterior como antecedente.
63,Autorización de la DIPSP.
64,Oficio de petición de la Unidad con la leyenda dice; debe decir.
65,Justificación original; indicando el histórico de la plaza; a fin de verificar la antigúedad de 6 meses y un día.
66,Constancia de Hoja de Servicios en original y copia.
67,Constancia de Alumbramiento expedida por la Unidad Hospitalaria.
68,Licencia Médica por concepto de Maternidad expedida por el ISSSTE
69,Oficio de petición por parte de la Unidad solicitando la autorización de Comisión por un período no mayor a 6 meses.
